# 首板盘中跟踪

交易日：20260424
跟踪数：32 只
数据覆盖：32/32 只 (100.0%)

## 极简摘要

**封板 7 只**
- 000925.SZ 众合科技（AI算力）09:45 封板
- 002606.SZ 大连电瓷（一季报增长）11:00 封板
- 600726.SH 华电能源（一季报增长）09:45 封板

**炸板 1 只**
- 002606.SZ 大连电瓷（一季报增长）13:15 炸板

## 完整跟踪

### 601016.SH 节能风电 - 风电
早盘：开盘 1.12% | 竞价额 7.62千万 | 量比 3.73
- 11:00: 弱势 | 涨幅 -6.54% | 成交额 18.73亿
- 13:15: 弱势 | 涨幅 -7.62% | 成交额 21.96亿
- 14:00: 弱势 | 涨幅 -6.60% | 成交额 23.86亿
- 14:40: 弱势 | 涨幅 -5.99% | 成交额 26.14亿

### 002429.SZ 兆驰股份 - CPO
早盘：开盘 -10.00% | 竞价额 18.21千万 | 量比 7.56

- 09:26: 弱势 | 涨幅 -10.00% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 -10.00% | 成交额 1.82亿
- 09:45: 弱势 | 涨幅 -10.00% | 成交额 3.77亿
- 10:15: 弱势 | 涨幅 -10.00% | 成交额 4.36亿
- 11:00: 弱势 | 涨幅 -10.00% | 成交额 5.12亿
- 13:15: 弱势 | 涨幅 -10.00% | 成交额 5.37亿
- 14:00: 弱势 | 涨幅 -10.00% | 成交额 5.52亿
- 14:40: 弱势 | 涨幅 -10.00% | 成交额 5.94亿

### 002793.SZ 罗欣药业 - 一季报增长
早盘：开盘 -0.53% | 竞价额 1.66千万 | 量比 12.07

- 09:26: 弱势 | 涨幅 3.91% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 -0.53% | 成交额 0.17亿
- 09:45: 弱势 | 涨幅 -6.22% | 成交额 1.44亿
- 10:15: 弱势 | 涨幅 -4.44% | 成交额 2.29亿
- 11:00: 弱势 | 涨幅 -5.15% | 成交额 3.57亿
- 13:15: 弱势 | 涨幅 -5.15% | 成交额 4.23亿
- 14:00: 弱势 | 涨幅 -4.26% | 成交额 4.63亿
- 14:40: 弱势 | 涨幅 -3.91% | 成交额 5.16亿

### 002008.SZ 大族激光 - PCB
早盘：开盘 0.00% | 竞价额 5.44千万 | 量比 1.05

- 09:26: 弱势 | 涨幅 3.07% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 0.00% | 成交额 0.54亿
- 09:45: 弱势 | 涨幅 -1.76% | 成交额 7.65亿
- 10:15: 弱势 | 涨幅 0.39% | 成交额 19.53亿
- 11:00: 弱势 | 涨幅 -2.85% | 成交额 36.35亿
- 13:15: 弱势 | 涨幅 -2.83% | 成交额 43.31亿
- 14:00: 弱势 | 涨幅 -2.36% | 成交额 46.72亿
- 14:40: 弱势 | 涨幅 -0.19% | 成交额 50.31亿

### 002971.SZ 和远气体 - 电子特气
早盘：开盘 -2.24% | 竞价额 0.99千万 | 量比 4.44

- 09:26: 弱势 | 涨幅 0.30% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 -2.24% | 成交额 0.10亿
- 09:45: 弱势 | 涨幅 -0.35% | 成交额 0.87亿
- 10:15: 弱势 | 涨幅 1.53% | 成交额 2.98亿
- 11:00: 弱势 | 涨幅 0.47% | 成交额 4.90亿
- 13:15: 弱势 | 涨幅 -1.56% | 成交额 5.48亿
- 14:00: 弱势 | 涨幅 -1.27% | 成交额 5.90亿
- 14:40: 弱势 | 涨幅 -0.38% | 成交额 6.33亿

### 000890.SZ 法尔胜 - 光纤业务澄清
早盘：开盘 -0.78% | 竞价额 3.18千万 | 量比 2.09

- 09:26: 弱势 | 涨幅 1.13% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 -0.78% | 成交额 0.32亿
- 09:45: 弱势 | 涨幅 -3.70% | 成交额 2.57亿
- 10:15: 弱势 | 涨幅 -1.49% | 成交额 6.19亿
- 11:00: 弱势 | 涨幅 1.19% | 成交额 12.55亿
- 13:15: 弱势 | 涨幅 2.45% | 成交额 14.14亿
- 14:00: 弱势 | 涨幅 -2.33% | 成交额 15.54亿
- 14:40: 弱势 | 涨幅 -1.07% | 成交额 16.80亿

### 603198.SH 迎驾贡酒 - Q1业绩回暖
早盘：开盘 -0.05% | 竞价额 2.11千万 | 量比 8.50

- 09:26: 弱势 | 涨幅 2.51% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 -0.05% | 成交额 0.21亿
- 09:45: 弱势 | 涨幅 1.33% | 成交额 1.46亿
- 10:15: 弱势 | 涨幅 2.00% | 成交额 3.53亿
- 11:00: 弱势 | 涨幅 3.95% | 成交额 6.88亿
- 13:15: 弱势 | 涨幅 3.61% | 成交额 7.67亿
- 14:00: 弱势 | 涨幅 2.18% | 成交额 8.57亿
- 14:40: 弱势 | 涨幅 2.13% | 成交额 9.11亿

### 001215.SZ 千味央厨 - 预制菜
早盘：开盘 0.02% | 竞价额 0.58千万 | 量比 3.83

- 09:26: 弱势 | 涨幅 0.00% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 0.02% | 成交额 0.06亿
- 09:45: 弱势 | 涨幅 1.15% | 成交额 0.52亿
- 10:15: 弱势 | 涨幅 -1.64% | 成交额 0.88亿
- 11:00: 弱势 | 涨幅 -0.76% | 成交额 1.44亿
- 13:15: 弱势 | 涨幅 0.48% | 成交额 1.93亿
- 14:00: 弱势 | 涨幅 0.23% | 成交额 2.13亿
- 14:40: 弱势 | 涨幅 0.69% | 成交额 2.31亿

### 603060.SH 国检集团 - 商业航天
早盘：开盘 6.49% | 竞价额 1.77千万 | 量比 26.77

- 09:26: 换手涨停 | 涨幅 9.95% | 成交额 0.00亿
- 09:32: 炸板 | 涨幅 6.49% | 成交额 0.18亿
- 09:45: 弱势 [转弱] | 涨幅 2.26% | 成交额 1.18亿
- 10:15: 封死 [封板] | 涨幅 9.95% | 成交额 3.28亿
- 11:00: 封死 | 涨幅 9.95% | 成交额 3.77亿
- 13:15: 封死 | 涨幅 9.95% | 成交额 3.83亿
- 14:00: 封死 | 涨幅 9.95% | 成交额 3.92亿
- 14:40: 封死 | 涨幅 9.95% | 成交额 3.98亿

### 002448.SZ 中原内配 - 氢能源
早盘：开盘 -2.97% | 竞价额 2.36千万 | 量比 4.72

- 09:26: 弱势 | 涨幅 0.00% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 -2.97% | 成交额 0.24亿
- 09:45: 弱势 | 涨幅 -4.39% | 成交额 2.24亿
- 10:15: 弱势 | 涨幅 -8.28% | 成交额 5.15亿
- 11:00: 弱势 | 涨幅 -7.76% | 成交额 8.42亿
- 13:15: 弱势 | 涨幅 -8.33% | 成交额 9.21亿
- 14:00: 弱势 | 涨幅 -8.62% | 成交额 9.82亿
- 14:40: 弱势 | 涨幅 -7.02% | 成交额 10.68亿

### 000537.SZ 绿发电力 - 绿电交易
早盘：开盘 0.00% | 竞价额 3.53千万 | 量比 4.07

- 09:26: 炸板 | 涨幅 4.55% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 0.00% | 成交额 0.35亿
- 09:45: 弱势 | 涨幅 -2.23% | 成交额 2.81亿
- 10:15: 弱势 | 涨幅 -3.26% | 成交额 4.97亿
- 11:00: 弱势 | 涨幅 -4.12% | 成交额 8.24亿
- 13:15: 弱势 | 涨幅 -5.24% | 成交额 10.14亿
- 14:00: 弱势 | 涨幅 -5.67% | 成交额 11.64亿
- 14:40: 弱势 | 涨幅 -5.15% | 成交额 12.67亿

### 002301.SZ 齐心集团 - AI应用
早盘：开盘 0.94% | 竞价额 1.17千万 | 量比 12.19

- 09:26: 炸板 | 涨幅 7.25% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 0.94% | 成交额 0.12亿
- 09:45: 弱势 | 涨幅 -3.89% | 成交额 1.03亿
- 10:15: 弱势 | 涨幅 -4.30% | 成交额 1.64亿
- 11:00: 弱势 | 涨幅 -3.22% | 成交额 2.52亿
- 13:15: 弱势 | 涨幅 -4.03% | 成交额 2.90亿
- 14:00: 弱势 | 涨幅 -3.62% | 成交额 3.22亿
- 14:40: 弱势 | 涨幅 -2.95% | 成交额 3.49亿

### 603709.SH 中源家居 - 跨境电商
早盘：开盘 0.00% | 竞价额 0.73千万 | 量比 12.95

- 09:26: 炸板 | 涨幅 4.77% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 0.00% | 成交额 0.07亿
- 09:45: 弱势 | 涨幅 -1.89% | 成交额 0.39亿
- 10:15: 弱势 | 涨幅 -3.35% | 成交额 0.62亿
- 11:00: 弱势 | 涨幅 -1.57% | 成交额 1.39亿
- 13:15: 弱势 | 涨幅 -0.42% | 成交额 1.83亿
- 14:00: 弱势 | 涨幅 -3.35% | 成交额 2.06亿
- 14:40: 弱势 | 涨幅 -3.35% | 成交额 2.29亿

### 600310.SH 广西能源 - 绿电扩张
早盘：开盘 0.19% | 竞价额 2.73千万 | 量比 3.20

- 09:26: 弱势 | 涨幅 2.27% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 0.19% | 成交额 0.27亿
- 09:45: 弱势 | 涨幅 3.41% | 成交额 3.23亿
- 10:15: 弱势 | 涨幅 1.89% | 成交额 6.41亿
- 11:00: 弱势 | 涨幅 1.52% | 成交额 9.82亿
- 13:15: 弱势 | 涨幅 0.57% | 成交额 11.21亿
- 14:00: 弱势 | 涨幅 -1.89% | 成交额 12.68亿
- 14:40: 弱势 | 涨幅 -2.84% | 成交额 13.47亿

### 000593.SZ 德龙汇能 - 燃气
早盘：开盘 0.00% | 竞价额 1.88千万 | 量比 3.30

- 09:26: 弱势 | 涨幅 2.85% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 0.00% | 成交额 0.19亿
- 09:45: 弱势 | 涨幅 0.05% | 成交额 2.30亿
- 10:15: 弱势 | 涨幅 2.19% | 成交额 3.94亿
- 11:00: 弱势 | 涨幅 2.75% | 成交额 6.01亿
- 13:15: 弱势 | 涨幅 2.90% | 成交额 6.80亿
- 14:00: 炸板 | 涨幅 4.99% | 成交额 8.29亿
- 14:40: 炸板 | 涨幅 8.20% | 成交额 9.55亿

### 002490.SZ 山东墨龙 - 油气装备
早盘：开盘 1.33% | 竞价额 1.86千万 | 量比 3.78

- 09:26: 炸板 | 涨幅 6.14% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 1.33% | 成交额 0.19亿
- 09:45: 炸板 | 涨幅 5.63% | 成交额 3.76亿
- 10:15: 弱势 [转弱] | 涨幅 3.68% | 成交额 6.10亿
- 11:00: 弱势 | 涨幅 3.38% | 成交额 9.19亿
- 13:15: 弱势 | 涨幅 3.58% | 成交额 10.13亿
- 14:00: 弱势 | 涨幅 2.87% | 成交额 11.25亿
- 14:40: 弱势 | 涨幅 3.38% | 成交额 11.95亿

### 001314.SZ 亿道信息 - 业绩大增
早盘：开盘 1.79% | 竞价额 2.84千万 | 量比 17.97

- 09:26: 换手涨停 | 涨幅 10.00% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 1.79% | 成交额 0.28亿
- 09:45: 弱势 | 涨幅 -1.26% | 成交额 1.59亿
- 10:15: 弱势 | 涨幅 -0.39% | 成交额 2.41亿
- 11:00: 弱势 | 涨幅 0.04% | 成交额 4.04亿
- 13:15: 弱势 | 涨幅 -0.76% | 成交额 4.44亿
- 14:00: 弱势 | 涨幅 -0.27% | 成交额 4.87亿
- 14:40: 弱势 | 涨幅 0.31% | 成交额 5.43亿

### 603390.SH 通达电气 - 一季报业绩大增
早盘：开盘 3.17% | 竞价额 4.77千万 | 量比 86.79

- 09:26: 换手涨停 | 涨幅 10.02% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 3.17% | 成交额 0.48亿
- 09:45: 炸板 | 涨幅 5.05% | 成交额 3.02亿
- 10:15: 炸板 | 涨幅 4.82% | 成交额 4.41亿
- 11:00: 封死 [封板] | 涨幅 10.02% | 成交额 6.77亿
- 13:15: 封死 | 涨幅 10.02% | 成交额 6.99亿
- 14:00: 封死 | 涨幅 10.02% | 成交额 7.11亿
- 14:40: 封死 | 涨幅 10.02% | 成交额 7.14亿

### 600186.SH 莲花控股 - 业绩高增
早盘：开盘 1.38% | 竞价额 7.71千万 | 量比 3.18

- 09:26: 弱势 | 涨幅 1.59% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 1.38% | 成交额 0.77亿
- 09:45: 弱势 | 涨幅 2.01% | 成交额 8.47亿
- 10:15: 弱势 | 涨幅 -1.80% | 成交额 15.59亿
- 11:00: 弱势 | 涨幅 -2.65% | 成交额 27.91亿
- 13:15: 弱势 | 涨幅 -4.66% | 成交额 30.51亿
- 14:00: 弱势 | 涨幅 -4.23% | 成交额 32.32亿
- 14:40: 弱势 | 涨幅 -2.96% | 成交额 34.21亿

### 600986.SH 浙文互联 - AI算力
早盘：开盘 -3.54% | 竞价额 9.91千万 | 量比 4.27

- 09:26: 弱势 | 涨幅 0.58% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 -3.54% | 成交额 0.99亿
- 09:45: 弱势 | 涨幅 -0.99% | 成交额 8.62亿
- 10:15: 弱势 | 涨幅 0.58% | 成交额 20.16亿
- 11:00: 弱势 | 涨幅 3.30% | 成交额 34.24亿
- 13:15: 弱势 | 涨幅 3.46% | 成交额 44.41亿
- 14:00: 弱势 | 涨幅 2.14% | 成交额 47.29亿
- 14:40: 弱势 | 涨幅 2.80% | 成交额 49.85亿

### 001267.SZ 汇绿生态 - CPO
早盘：开盘 1.77% | 竞价额 11.63千万 | 量比 3.15

- 09:26: 弱势 | 涨幅 0.27% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 1.77% | 成交额 1.16亿
- 09:45: 弱势 | 涨幅 3.12% | 成交额 11.00亿
- 10:15: 弱势 | 涨幅 3.04% | 成交额 17.91亿
- 11:00: 弱势 | 涨幅 -1.55% | 成交额 28.29亿
- 13:15: 弱势 | 涨幅 -5.11% | 成交额 35.97亿
- 14:00: 弱势 | 涨幅 -2.36% | 成交额 40.20亿
- 14:40: 弱势 | 涨幅 -0.57% | 成交额 43.19亿

### 002787.SZ 华源控股 - 半导体
早盘：开盘 2.78% | 竞价额 1.75千万 | 量比 2.78

- 09:26: 弱势 | 涨幅 1.34% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 2.78% | 成交额 0.17亿
- 09:45: 封死 [封板] | 涨幅 9.98% | 成交额 2.56亿
- 10:15: 封死 | 涨幅 9.98% | 成交额 2.70亿
- 11:00: 封死 | 涨幅 9.98% | 成交额 2.99亿
- 13:15: 封死 | 涨幅 9.98% | 成交额 3.15亿
- 14:00: 封死 | 涨幅 9.98% | 成交额 3.21亿
- 14:40: 封死 | 涨幅 9.98% | 成交额 3.25亿

### 601101.SH 昊华能源 - 一季报增长
早盘：开盘 2.03% | 竞价额 1.52千万 | 量比 6.99

- 09:26: 弱势 | 涨幅 2.88% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 2.03% | 成交额 0.15亿
- 09:45: 弱势 | 涨幅 3.21% | 成交额 2.21亿
- 10:15: 炸板 | 涨幅 4.38% | 成交额 4.28亿
- 11:00: 弱势 [转弱] | 涨幅 2.99% | 成交额 6.74亿
- 13:15: 弱势 | 涨幅 3.42% | 成交额 7.57亿
- 14:00: 弱势 | 涨幅 3.42% | 成交额 8.01亿
- 14:40: 炸板 | 涨幅 4.49% | 成交额 8.52亿

### 600770.SH 综艺股份 - 半导体
早盘：开盘 9.94% | 竞价额 3.11千万 | 量比 13.01

- 09:26: 换手涨停 | 涨幅 9.94% | 成交额 0.00亿
- 09:32: 封死 [封板] | 涨幅 9.94% | 成交额 0.31亿
- 09:45: 封死 | 涨幅 9.94% | 成交额 5.52亿
- 10:15: 封死 | 涨幅 9.94% | 成交额 5.76亿
- 11:00: 封死 | 涨幅 9.94% | 成交额 6.00亿
- 13:15: 封死 | 涨幅 9.94% | 成交额 6.13亿
- 14:00: 封死 | 涨幅 9.94% | 成交额 6.21亿
- 14:40: 封死 | 涨幅 9.94% | 成交额 6.24亿

### 600726.SH 华电能源 - 一季报增长
早盘：开盘 4.93% | 竞价额 6.89千万 | 量比 4.75

- 09:26: 换手涨停 | 涨幅 10.06% | 成交额 0.00亿
- 09:32: 炸板 | 涨幅 4.93% | 成交额 0.69亿
- 09:45: 封死 [封板] | 涨幅 10.06% | 成交额 12.85亿
- 10:15: 封死 | 涨幅 10.06% | 成交额 14.94亿
- 11:00: 封死 | 涨幅 10.06% | 成交额 18.02亿
- 13:15: 封死 | 涨幅 10.06% | 成交额 18.37亿
- 14:00: 封死 | 涨幅 10.06% | 成交额 25.75亿
- 14:40: 封死 | 涨幅 10.06% | 成交额 28.21亿

### 002606.SZ 大连电瓷 - 一季报增长
早盘：开盘 4.95% | 竞价额 7.26千万 | 量比 18.99

- 09:26: 换手涨停 | 涨幅 9.97% | 成交额 0.00亿
- 09:32: 炸板 | 涨幅 4.95% | 成交额 0.73亿
- 09:45: 炸板 | 涨幅 7.42% | 成交额 5.31亿
- 10:15: 炸板 | 涨幅 6.52% | 成交额 8.93亿
- 11:00: 封死 [封板] | 涨幅 9.97% | 成交额 13.27亿
- 13:15: 炸板 [炸板] | 涨幅 7.80% | 成交额 17.03亿
- 14:00: 炸板 | 涨幅 6.90% | 成交额 18.43亿
- 14:40: 炸板 | 涨幅 6.22% | 成交额 19.31亿

### 000925.SZ 众合科技 - AI算力
早盘：开盘 8.73% | 竞价额 6.86千万 | 量比 23.79

- 09:26: 换手涨停 | 涨幅 9.81% | 成交额 0.00亿
- 09:32: 炸板 | 涨幅 8.73% | 成交额 0.69亿
- 09:45: 封死 [封板] | 涨幅 10.05% | 成交额 2.73亿
- 10:15: 封死 | 涨幅 10.05% | 成交额 2.99亿
- 11:00: 封死 | 涨幅 10.05% | 成交额 3.34亿
- 13:15: 封死 | 涨幅 10.05% | 成交额 3.68亿
- 14:00: 封死 | 涨幅 10.05% | 成交额 3.75亿
- 14:40: 封死 | 涨幅 10.05% | 成交额 3.78亿

### 601778.SH 晶科科技 - AI算力
早盘：开盘 4.87% | 竞价额 21.61千万 | 量比 3.45

- 09:26: 换手涨停 | 涨幅 9.87% | 成交额 0.00亿
- 09:32: 炸板 | 涨幅 4.87% | 成交额 2.16亿
- 09:45: 炸板 | 涨幅 4.31% | 成交额 17.15亿
- 10:15: 炸板 | 涨幅 5.84% | 成交额 33.31亿
- 11:00: 炸板 | 涨幅 4.03% | 成交额 47.00亿
- 13:15: 弱势 [转弱] | 涨幅 1.25% | 成交额 57.09亿
- 14:00: 弱势 | 涨幅 0.70% | 成交额 63.57亿
- 14:40: 弱势 | 涨幅 1.39% | 成交额 68.40亿
