# 首板盘中跟踪

交易日：20260427
跟踪数：42 只
数据覆盖：42/42 只 (100.0%)

## 极简摘要

**封板 4 只**
- 600338.SH 西藏珠峰（有色资源）11:00 封板
- 001211.SZ 双枪科技（竹基禾塑托盘）13:15 封板
- 600152.SH 维科技术（钠电储能龙头）13:15 封板

## 完整跟踪

### 000889.SZ 中嘉博创 - AI算力
早盘：开盘 -1.88% | 竞价额 3.16千万 | 量比 3.18
- 13:15: 弱势 | 涨幅 2.08% | 成交额 23.69亿
- 14:00: 弱势 | 涨幅 2.93% | 成交额 27.19亿
- 14:40: 弱势 | 涨幅 1.90% | 成交额 30.47亿

### 603876.SH 鼎胜新材 - 有色资源
早盘：开盘 3.01% | 竞价额 2.30千万 | 量比 1.59

- 09:26: 弱势 | 涨幅 2.60% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 3.01% | 成交额 0.23亿
- 09:45: 炸板 | 涨幅 4.23% | 成交额 2.47亿
- 10:15: 弱势 [转弱] | 涨幅 1.48% | 成交额 7.19亿
- 11:00: 弱势 | 涨幅 1.11% | 成交额 10.33亿
- 13:15: 弱势 | 涨幅 2.00% | 成交额 11.95亿
- 14:00: 弱势 | 涨幅 2.49% | 成交额 13.49亿
- 14:40: 炸板 | 涨幅 4.19% | 成交额 14.93亿

### 603819.SH 神力股份 - 柴油发电机
早盘：开盘 -0.91% | 竞价额 0.31千万 | 量比 2.05

- 09:26: 炸板 | 涨幅 7.77% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 -0.91% | 成交额 0.03亿
- 09:45: 弱势 | 涨幅 -5.55% | 成交额 0.43亿
- 10:15: 弱势 | 涨幅 -4.11% | 成交额 1.02亿
- 11:00: 弱势 | 涨幅 -5.55% | 成交额 1.52亿
- 13:15: 弱势 | 涨幅 -3.46% | 成交额 1.88亿
- 14:00: 弱势 | 涨幅 -3.46% | 成交额 2.12亿
- 14:40: 弱势 | 涨幅 -4.11% | 成交额 2.37亿

### 603599.SH 广信股份 - 草甘膦
早盘：开盘 -2.97% | 竞价额 1.46千万 | 量比 5.65

- 09:26: 弱势 | 涨幅 -2.24% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 -2.97% | 成交额 0.15亿
- 09:45: 弱势 | 涨幅 -2.97% | 成交额 0.96亿
- 10:15: 弱势 | 涨幅 -3.82% | 成交额 1.85亿
- 11:00: 弱势 | 涨幅 -2.24% | 成交额 2.98亿
- 13:15: 弱势 | 涨幅 -2.18% | 成交额 3.78亿
- 14:00: 弱势 | 涨幅 -1.32% | 成交额 4.59亿
- 14:40: 弱势 | 涨幅 -1.19% | 成交额 4.97亿

### 603365.SH 水星家纺 - 业绩增长
早盘：开盘 9.37% | 竞价额 1.17千万 | 量比 27.23

- 09:26: 换手涨停 | 涨幅 10.02% | 成交额 0.00亿
- 09:32: 炸板 | 涨幅 9.37% | 成交额 0.12亿
- 09:45: 弱势 [转弱] | 涨幅 1.71% | 成交额 0.63亿
- 10:15: 弱势 | 涨幅 -2.06% | 成交额 1.05亿
- 11:00: 弱势 | 涨幅 -3.37% | 成交额 1.47亿
- 13:15: 弱势 | 涨幅 -2.89% | 成交额 1.80亿
- 14:00: 弱势 | 涨幅 -0.18% | 成交额 2.27亿
- 14:40: 弱势 | 涨幅 -1.14% | 成交额 2.49亿

### 603680.SH 今创集团 - 轨道交通
早盘：开盘 4.06% | 竞价额 0.76千万 | 量比 9.33

- 09:26: 炸板 | 涨幅 4.49% | 成交额 0.00亿
- 09:32: 炸板 | 涨幅 4.06% | 成交额 0.08亿
- 09:45: 炸板 | 涨幅 7.63% | 成交额 1.12亿
- 10:15: 炸板 | 涨幅 6.06% | 成交额 2.03亿
- 11:00: 弱势 [转弱] | 涨幅 3.71% | 成交额 2.74亿
- 13:15: 炸板 | 涨幅 4.49% | 成交额 3.11亿
- 14:00: 弱势 [转弱] | 涨幅 3.85% | 成交额 3.32亿
- 14:40: 弱势 | 涨幅 3.64% | 成交额 3.50亿

### 002795.SZ 永和智控 - 光伏剥离
早盘：开盘 0.00% | 竞价额 0.73千万 | 量比 3.98

- 09:26: 炸板 | 涨幅 7.90% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 0.00% | 成交额 0.07亿
- 09:45: 弱势 | 涨幅 0.00% | 成交额 0.63亿
- 10:15: 弱势 | 涨幅 0.45% | 成交额 1.55亿
- 11:00: 弱势 | 涨幅 0.23% | 成交额 2.56亿
- 13:15: 弱势 | 涨幅 1.47% | 成交额 3.05亿
- 14:00: 弱势 | 涨幅 3.50% | 成交额 3.89亿
- 14:40: 弱势 | 涨幅 2.71% | 成交额 4.44亿

### 600545.SH 卓郎智能 - 玻璃纤维纱线
早盘：开盘 -4.43% | 竞价额 2.39千万 | 量比 4.41

- 09:26: 弱势 | 涨幅 -1.27% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 -4.43% | 成交额 0.24亿
- 09:45: 弱势 | 涨幅 0.84% | 成交额 1.60亿
- 10:15: 弱势 | 涨幅 0.84% | 成交额 3.98亿
- 11:00: 弱势 | 涨幅 3.16% | 成交额 6.88亿
- 13:15: 弱势 | 涨幅 2.74% | 成交额 7.60亿
- 14:00: 弱势 | 涨幅 3.38% | 成交额 8.81亿
- 14:40: 弱势 | 涨幅 3.16% | 成交额 9.45亿

### 600527.SH 江南高纤 - 复合短纤维
早盘：开盘 -0.73% | 竞价额 1.57千万 | 量比 4.51

- 09:26: 弱势 | 涨幅 3.64% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 -0.73% | 成交额 0.16亿
- 09:45: 弱势 | 涨幅 -4.00% | 成交额 0.97亿
- 10:15: 弱势 | 涨幅 -1.09% | 成交额 2.10亿
- 11:00: 弱势 | 涨幅 -1.45% | 成交额 3.12亿
- 13:15: 弱势 | 涨幅 1.09% | 成交额 4.12亿
- 14:00: 弱势 | 涨幅 1.09% | 成交额 4.57亿
- 14:40: 弱势 | 涨幅 0.73% | 成交额 5.46亿

### 600537.SH 亿晶光电 - 预重整推进
早盘：开盘 9.95% | 竞价额 4.65千万 | 量比 6.10

- 09:26: 换手涨停 | 涨幅 9.95% | 成交额 0.00亿
- 09:32: 换手涨停 | 涨幅 9.95% | 成交额 0.47亿
- 09:45: 弱势 [转弱] | 涨幅 1.88% | 成交额 2.43亿
- 10:15: 弱势 | 涨幅 0.00% | 成交额 4.67亿
- 11:00: 弱势 | 涨幅 -4.30% | 成交额 6.94亿
- 13:15: 弱势 | 涨幅 -3.49% | 成交额 7.71亿
- 14:00: 弱势 | 涨幅 -3.76% | 成交额 8.52亿
- 14:40: 弱势 | 涨幅 -3.76% | 成交额 9.03亿

### 002331.SZ 皖通科技 - 华为合作
早盘：开盘 -2.12% | 竞价额 2.68千万 | 量比 8.01

- 09:26: 炸板 | 涨幅 9.79% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 -2.12% | 成交额 0.27亿
- 09:45: 弱势 | 涨幅 -4.14% | 成交额 1.38亿
- 10:15: 弱势 | 涨幅 -5.45% | 成交额 2.62亿
- 11:00: 弱势 | 涨幅 -6.56% | 成交额 4.24亿
- 13:15: 弱势 | 涨幅 -6.36% | 成交额 4.79亿
- 14:00: 弱势 | 涨幅 -6.66% | 成交额 5.04亿
- 14:40: 弱势 | 涨幅 -6.46% | 成交额 5.40亿

### 000546.SZ 金圆股份 - 有色资源
早盘：开盘 -3.07% | 竞价额 3.36千万 | 量比 5.67

- 09:26: 炸板 | 涨幅 6.56% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 -3.07% | 成交额 0.34亿
- 09:45: 弱势 | 涨幅 2.23% | 成交额 3.06亿
- 10:15: 弱势 | 涨幅 -0.42% | 成交额 5.47亿
- 11:00: 弱势 | 涨幅 -0.42% | 成交额 7.21亿
- 13:15: 弱势 | 涨幅 1.12% | 成交额 8.88亿
- 14:00: 弱势 | 涨幅 0.98% | 成交额 9.65亿
- 14:40: 弱势 | 涨幅 1.26% | 成交额 10.29亿

### 603272.SH 联翔股份 - 超跌反弹
早盘：开盘 10.00% | 竞价额 3.15千万 | 量比 16.38

- 09:26: 换手涨停 | 涨幅 10.00% | 成交额 0.00亿
- 09:32: 换手涨停 | 涨幅 10.00% | 成交额 0.32亿
- 09:45: 封死 [封板] | 涨幅 10.00% | 成交额 1.24亿
- 10:15: 封死 | 涨幅 10.00% | 成交额 1.29亿
- 11:00: 封死 | 涨幅 10.00% | 成交额 1.36亿
- 13:15: 封死 | 涨幅 10.00% | 成交额 1.40亿
- 14:00: 封死 | 涨幅 10.00% | 成交额 1.41亿
- 14:40: 封死 | 涨幅 10.00% | 成交额 1.42亿

### 000906.SZ 浙商中拓 - 供应链服务
早盘：开盘 -0.79% | 竞价额 1.96千万 | 量比 19.84

- 09:26: 弱势 | 涨幅 3.46% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 -0.79% | 成交额 0.20亿
- 09:45: 弱势 | 涨幅 -3.46% | 成交额 0.84亿
- 10:15: 弱势 | 涨幅 -3.46% | 成交额 1.66亿
- 11:00: 弱势 | 涨幅 -0.79% | 成交额 2.53亿
- 13:15: 弱势 | 涨幅 -0.79% | 成交额 3.17亿
- 14:00: 弱势 | 涨幅 0.16% | 成交额 3.57亿
- 14:40: 弱势 | 涨幅 0.31% | 成交额 3.96亿

### 002999.SZ 天禾股份 - 供销社
早盘：开盘 -0.78% | 竞价额 2.33千万 | 量比 23.97

- 09:26: 炸板 | 涨幅 4.44% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 -0.78% | 成交额 0.23亿
- 09:45: 弱势 | 涨幅 -5.22% | 成交额 0.85亿
- 10:15: 弱势 | 涨幅 -4.05% | 成交额 1.65亿
- 11:00: 弱势 | 涨幅 -4.18% | 成交额 2.52亿
- 13:15: 弱势 | 涨幅 -3.26% | 成交额 3.01亿
- 14:00: 弱势 | 涨幅 -3.26% | 成交额 3.35亿
- 14:40: 弱势 | 涨幅 -3.79% | 成交额 3.90亿

### 603655.SH 朗博科技 - 汽车热管理
早盘：开盘 1.01% | 竞价额 0.84千万 | 量比 5.60

- 09:26: 弱势 | 涨幅 1.01% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 1.01% | 成交额 0.08亿
- 09:45: 弱势 | 涨幅 2.93% | 成交额 0.47亿
- 10:15: 炸板 | 涨幅 6.23% | 成交额 1.43亿
- 11:00: 炸板 | 涨幅 6.90% | 成交额 2.39亿
- 13:15: 炸板 | 涨幅 6.17% | 成交额 2.92亿
- 14:00: 炸板 | 涨幅 6.80% | 成交额 3.39亿
- 14:40: 炸板 | 涨幅 7.26% | 成交额 3.65亿

### 600633.SH 浙数文化 - AI应用
早盘：开盘 -5.04% | 竞价额 9.02千万 | 量比 10.68

- 09:26: 弱势 | 涨幅 0.20% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 -5.04% | 成交额 0.90亿
- 09:45: 弱势 | 涨幅 -8.35% | 成交额 5.17亿
- 10:15: 弱势 | 涨幅 -9.87% | 成交额 11.93亿
- 11:00: 弱势 | 涨幅 -9.94% | 成交额 16.78亿
- 13:15: 弱势 | 涨幅 -10.01% | 成交额 19.28亿
- 14:00: 弱势 | 涨幅 -10.01% | 成交额 20.92亿
- 14:40: 弱势 | 涨幅 -10.01% | 成交额 21.54亿

### 600370.SH 三房巷 - 瓶级聚酯切片
早盘：开盘 0.00% | 竞价额 2.00千万 | 量比 10.85

- 09:26: 弱势 | 涨幅 2.27% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 0.00% | 成交额 0.20亿
- 09:45: 弱势 | 涨幅 0.38% | 成交额 0.95亿
- 10:15: 弱势 | 涨幅 -1.14% | 成交额 2.81亿
- 11:00: 弱势 | 涨幅 -1.52% | 成交额 3.65亿
- 13:15: 弱势 | 涨幅 0.38% | 成交额 4.51亿
- 14:00: 弱势 | 涨幅 0.38% | 成交额 5.10亿
- 14:40: 弱势 | 涨幅 0.76% | 成交额 5.45亿

### 002290.SZ 禾盛新材 - 增资CPU
早盘：开盘 5.95% | 竞价额 11.80千万 | 量比 12.38

- 09:26: 换手涨停 | 涨幅 10.01% | 成交额 0.00亿
- 09:32: 炸板 | 涨幅 5.95% | 成交额 1.18亿
- 09:45: 弱势 [转弱] | 涨幅 3.23% | 成交额 6.21亿
- 10:15: 炸板 | 涨幅 5.33% | 成交额 11.91亿
- 11:00: 炸板 | 涨幅 6.95% | 成交额 17.65亿
- 13:15: 炸板 | 涨幅 4.66% | 成交额 21.43亿
- 14:00: 炸板 | 涨幅 7.44% | 成交额 24.40亿
- 14:40: 炸板 | 涨幅 6.54% | 成交额 27.30亿

### 600152.SH 维科技术 - 钠电储能龙头
早盘：开盘 3.63% | 竞价额 4.51千万 | 量比 3.05

- 09:26: 炸板 | 涨幅 6.94% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 3.63% | 成交额 0.45亿
- 09:45: 弱势 | 涨幅 2.55% | 成交额 4.15亿
- 10:15: 弱势 | 涨幅 -0.69% | 成交额 7.61亿
- 11:00: 弱势 | 涨幅 -0.62% | 成交额 9.94亿
- 13:15: 封死 [封板] | 涨幅 10.03% | 成交额 18.38亿
- 14:00: 封死 | 涨幅 10.03% | 成交额 19.64亿
- 14:40: 封死 | 涨幅 10.03% | 成交额 19.76亿

### 002812.SZ 恩捷股份 - 业绩暴增
早盘：开盘 3.96% | 竞价额 14.48千万 | 量比 3.72

- 09:26: 炸板 | 涨幅 5.84% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 3.96% | 成交额 1.45亿
- 09:45: 炸板 | 涨幅 7.54% | 成交额 15.84亿
- 10:15: 炸板 | 涨幅 5.27% | 成交额 33.54亿
- 11:00: 炸板 | 涨幅 4.94% | 成交额 48.25亿
- 13:15: 炸板 | 涨幅 5.26% | 成交额 53.71亿
- 14:00: 炸板 | 涨幅 5.17% | 成交额 58.48亿
- 14:40: 炸板 | 涨幅 4.95% | 成交额 62.78亿

### 600499.SH 科达制造 - 一季报超预期
早盘：开盘 2.02% | 竞价额 3.39千万 | 量比 5.23

- 09:26: 炸板 | 涨幅 5.40% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 2.02% | 成交额 0.34亿
- 09:45: 弱势 | 涨幅 2.83% | 成交额 2.88亿
- 10:15: 弱势 | 涨幅 2.22% | 成交额 5.70亿
- 11:00: 弱势 | 涨幅 1.97% | 成交额 8.40亿
- 13:15: 弱势 | 涨幅 2.27% | 成交额 10.20亿
- 14:00: 弱势 | 涨幅 2.22% | 成交额 11.59亿
- 14:40: 弱势 | 涨幅 2.07% | 成交额 12.71亿

### 000973.SZ 佛塑科技 - 有色资源
早盘：开盘 0.58% | 竞价额 2.92千万 | 量比 1.91

- 09:26: 弱势 | 涨幅 2.69% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 0.58% | 成交额 0.29亿
- 09:45: 弱势 | 涨幅 3.48% | 成交额 2.91亿
- 10:15: 炸板 | 涨幅 4.53% | 成交额 7.82亿
- 11:00: 弱势 [转弱] | 涨幅 3.69% | 成交额 11.59亿
- 13:15: 弱势 | 涨幅 3.84% | 成交额 13.29亿
- 14:00: 弱势 | 涨幅 3.63% | 成交额 14.61亿
- 14:40: 弱势 | 涨幅 3.90% | 成交额 15.75亿

### 001211.SZ 双枪科技 - 竹基禾塑托盘
早盘：开盘 1.30% | 竞价额 0.96千万 | 量比 6.37

- 09:26: 炸板 | 涨幅 7.09% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 1.30% | 成交额 0.10亿
- 09:45: 炸板 | 涨幅 7.70% | 成交额 1.39亿
- 10:15: 炸板 | 涨幅 9.32% | 成交额 2.83亿
- 11:00: 炸板 | 涨幅 8.83% | 成交额 3.91亿
- 13:15: 封死 [封板] | 涨幅 10.01% | 成交额 4.20亿
- 14:00: 封死 | 涨幅 10.01% | 成交额 4.24亿
- 14:40: 封死 | 涨幅 10.01% | 成交额 4.26亿

### 002313.SZ 日海智能 - 无线通信模组
早盘：开盘 0.00% | 竞价额 1.57千万 | 量比 12.37

- 09:26: 换手涨停 | 涨幅 9.96% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 0.00% | 成交额 0.16亿
- 09:45: 弱势 | 涨幅 -3.11% | 成交额 0.82亿
- 10:15: 弱势 | 涨幅 -4.56% | 成交额 1.46亿
- 11:00: 弱势 | 涨幅 -5.29% | 成交额 2.50亿
- 13:15: 弱势 | 涨幅 -4.88% | 成交额 2.89亿
- 14:00: 弱势 | 涨幅 -5.08% | 成交额 3.14亿
- 14:40: 弱势 | 涨幅 -4.46% | 成交额 3.48亿

### 600208.SH 衢州发展 - 拟并购先导电科
早盘：开盘 1.69% | 竞价额 5.28千万 | 量比 3.28

- 09:26: 炸板 | 涨幅 8.88% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 1.69% | 成交额 0.53亿
- 09:45: 弱势 | 涨幅 -4.65% | 成交额 4.38亿
- 10:15: 弱势 | 涨幅 -8.46% | 成交额 10.37亿
- 11:00: 弱势 | 涨幅 -9.94% | 成交额 15.90亿
- 13:15: 弱势 | 涨幅 -9.94% | 成交额 16.29亿
- 14:00: 弱势 | 涨幅 -9.94% | 成交额 16.40亿
- 14:40: 弱势 | 涨幅 -9.94% | 成交额 16.49亿

### 603066.SH 音飞储存 - 一季报大增
早盘：开盘 1.53% | 竞价额 1.74千万 | 量比 42.03

- 09:26: 换手涨停 | 涨幅 9.98% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 1.53% | 成交额 0.17亿
- 09:45: 弱势 | 涨幅 3.42% | 成交额 0.98亿
- 10:15: 弱势 | 涨幅 2.70% | 成交额 1.76亿
- 11:00: 弱势 | 涨幅 1.44% | 成交额 2.39亿
- 13:15: 弱势 | 涨幅 2.25% | 成交额 2.64亿
- 14:00: 弱势 | 涨幅 1.71% | 成交额 2.93亿
- 14:40: 弱势 | 涨幅 2.43% | 成交额 3.32亿

### 002407.SZ 多氟多 - 一季报暴增
早盘：开盘 1.79% | 竞价额 14.73千万 | 量比 3.36

- 09:26: 炸板 | 涨幅 5.93% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 1.79% | 成交额 1.47亿
- 09:45: 弱势 | 涨幅 3.54% | 成交额 15.79亿
- 10:15: 弱势 | 涨幅 2.33% | 成交额 34.17亿
- 11:00: 弱势 | 涨幅 3.33% | 成交额 50.61亿
- 13:15: 炸板 | 涨幅 4.06% | 成交额 58.94亿
- 14:00: 炸板 | 涨幅 4.45% | 成交额 66.75亿
- 14:40: 弱势 [转弱] | 涨幅 3.93% | 成交额 71.28亿

### 002127.SZ 南极电商 - 一季报扭亏
早盘：开盘 -0.97% | 竞价额 1.50千万 | 量比 11.41

- 09:26: 弱势 | 涨幅 2.27% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 -0.97% | 成交额 0.15亿
- 09:45: 弱势 | 涨幅 -1.62% | 成交额 0.88亿
- 10:15: 弱势 | 涨幅 -2.60% | 成交额 1.58亿
- 11:00: 弱势 | 涨幅 -0.97% | 成交额 2.19亿
- 13:15: 弱势 | 涨幅 0.32% | 成交额 2.55亿
- 14:00: 弱势 | 涨幅 0.32% | 成交额 3.19亿
- 14:40: 弱势 | 涨幅 0.65% | 成交额 3.57亿

### 001339.SZ 智微智能 - 一季报增长
早盘：开盘 -0.92% | 竞价额 2.86千万 | 量比 3.43

- 09:26: 弱势 | 涨幅 1.56% | 成交额 0.00亿
- 09:32: 弱势 | 涨幅 -0.92% | 成交额 0.29亿
- 09:45: 弱势 | 涨幅 -0.45% | 成交额 2.32亿
- 10:15: 炸板 | 涨幅 4.03% | 成交额 7.14亿
- 11:00: 弱势 [转弱] | 涨幅 2.48% | 成交额 11.51亿
- 13:15: 弱势 | 涨幅 2.25% | 成交额 14.05亿
- 14:00: 弱势 | 涨幅 2.22% | 成交额 15.27亿
- 14:40: 弱势 | 涨幅 2.24% | 成交额 16.31亿

### 603967.SH 中创物流 - 一季报增长
早盘：开盘 0.00% | 竞价额 0.83千万 | 量比 12.14

- 09:26: 炸板 | 涨幅 5.97% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 0.00% | 成交额 0.08亿
- 09:45: 弱势 | 涨幅 -3.67% | 成交额 0.44亿
- 10:15: 弱势 | 涨幅 -6.45% | 成交额 1.01亿
- 11:00: 弱势 | 涨幅 -6.18% | 成交额 1.47亿
- 13:15: 弱势 | 涨幅 -5.70% | 成交额 1.74亿
- 14:00: 弱势 | 涨幅 -5.91% | 成交额 2.04亿
- 14:40: 弱势 | 涨幅 -4.96% | 成交额 2.46亿

### 600826.SH 兰生股份 - 年报增长
早盘：开盘 2.91% | 竞价额 1.33千万 | 量比 19.61

- 09:26: 换手涨停 | 涨幅 9.98% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 2.91% | 成交额 0.13亿
- 09:45: 弱势 | 涨幅 -1.84% | 成交额 0.82亿
- 10:15: 弱势 | 涨幅 0.87% | 成交额 1.69亿
- 11:00: 弱势 | 涨幅 -0.48% | 成交额 2.66亿
- 13:15: 弱势 | 涨幅 -0.19% | 成交额 2.99亿
- 14:00: 弱势 | 涨幅 -0.10% | 成交额 3.26亿
- 14:40: 弱势 | 涨幅 -0.29% | 成交额 3.57亿

### 002990.SZ 盛视科技 - AI算力
早盘：开盘 -5.73% | 竞价额 2.28千万 | 量比 1.60

- 09:26: 炸板 | 涨幅 8.41% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 -5.73% | 成交额 0.23亿
- 09:45: 弱势 | 涨幅 -5.32% | 成交额 2.46亿
- 10:15: 弱势 | 涨幅 -7.26% | 成交额 5.01亿
- 11:00: 弱势 | 涨幅 -9.89% | 成交额 8.14亿
- 13:15: 弱势 | 涨幅 -10.00% | 成交额 8.91亿
- 14:00: 弱势 | 涨幅 -10.00% | 成交额 9.55亿
- 14:40: 弱势 | 涨幅 -10.00% | 成交额 9.61亿

### 603520.SH 司太立 - 有色资源
早盘：开盘 0.09% | 竞价额 2.24千万 | 量比 8.72

- 09:26: 换手涨停 | 涨幅 9.97% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 0.09% | 成交额 0.22亿
- 09:45: 弱势 | 涨幅 3.26% | 成交额 2.02亿
- 10:15: 弱势 | 涨幅 1.46% | 成交额 3.90亿
- 11:00: 弱势 | 涨幅 0.95% | 成交额 5.29亿
- 13:15: 弱势 | 涨幅 1.03% | 成交额 5.85亿
- 14:00: 弱势 | 涨幅 1.20% | 成交额 6.29亿
- 14:40: 弱势 | 涨幅 1.12% | 成交额 6.67亿

### 002406.SZ 远东传动 - 参股黄河信产
早盘：开盘 -0.95% | 竞价额 3.17千万 | 量比 18.46

- 09:26: 炸板 | 涨幅 9.73% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 -0.95% | 成交额 0.32亿
- 09:45: 弱势 | 涨幅 -3.20% | 成交额 1.54亿
- 10:15: 弱势 | 涨幅 -1.30% | 成交额 3.21亿
- 11:00: 弱势 | 涨幅 -0.71% | 成交额 5.98亿
- 13:15: 弱势 | 涨幅 0.00% | 成交额 7.49亿
- 14:00: 弱势 | 涨幅 0.00% | 成交额 8.53亿
- 14:40: 弱势 | 涨幅 -0.47% | 成交额 9.45亿

### 002192.SZ 融捷股份 - 有色资源
早盘：开盘 3.19% | 竞价额 6.41千万 | 量比 2.58

- 09:26: 炸板 | 涨幅 9.64% | 成交额 0.00亿
- 09:32: 弱势 [转弱] | 涨幅 3.19% | 成交额 0.64亿
- 09:45: 炸板 | 涨幅 8.96% | 成交额 8.04亿
- 10:15: 弱势 [转弱] | 涨幅 3.95% | 成交额 18.29亿
- 11:00: 弱势 | 涨幅 3.19% | 成交额 26.22亿
- 13:15: 炸板 | 涨幅 4.72% | 成交额 30.40亿
- 14:00: 炸板 | 涨幅 4.75% | 成交额 32.96亿
- 14:40: 炸板 | 涨幅 4.72% | 成交额 35.72亿

### 002176.SZ 江特电机 - 有色资源
早盘：开盘 1.54% | 竞价额 8.92千万 | 量比 3.80

